"Site" "Pair" "Microsite" "Type" "Richness" "Cover"
"480" "E" 75 "Under" "Grass" 2 20
"481" "F" 76 "Under" "Grass" 3 30
"482" "F" 77 "Under" "Grass" 2 8
"483" "F" 78 "Under" "Grass" 2 15
"484" "F" 79 "Under" "Grass" 3 30
"485" "F" 80 "Under" "Grass" 3 12
"486" "F" 81 "Under" "Grass" 3 57
"487" "F" 82 "Under" "Grass" 3 34
"488" "F" 83 "Under" "Grass" 2 21
"489" "F" 84 "Under" "Grass" 2 21
"490" "F" 85 "Under" "Grass" 2 20
"491" "F" 86 "Under" "Grass" 1 35
"492" "F" 87 "Under" "Grass" 2 13
"493" "F" 88 "Under" "Grass" 1 82
"494" "F" 89 "Under" "Grass" 2 10
"495" "F" 90 "Under" "Grass" 1 17
"496" "G" 91 "Under" "Grass" 2 10
"497" "G" 92 "Under" "Grass" 1 3
"498" "G" 93 "Under" "Grass" 1 20
"499" "G" 94 "Under" "Grass" 1 50
"500" "G" 95 "Under" "Grass" 1 25
"501" "G" 96 "Under" "Grass" 5 40
"502" "G" 97 "Under" "Grass" 1 5
"503" "G" 98 "Under" "Grass" 3 35
"504" "G" 99 "Under" "Grass" 2 33
"505" "G" 100 "Under" "Grass" 1 5
"506" "G" 101 "Under" "Grass" 3 13
"507" "G" 102 "Under" "Grass" 4 7
"508" "G" 103 "Under" "Grass" 2 2
"509" "G" 104 "Under" "Grass" 1 22
"510" "G" 105 "Under" "Grass" 2 27
"511" "H" 106 "Under" "Grass" 2 17
"512" "H" 107 "Under" "Grass" 2 10
"513" "H" 108 "Under" "Grass" 1 25
"514" "H" 109 "Under" "Grass" 2 50
"515" "H" 110 "Under" "Grass" 2 32
"516" "H" 111 "Under" "Grass" 2 25
"517" "H" 112 "Under" "Grass" 2 10
"518" "H" 113 "Under" "Grass" 2 12
"519" "H" 114 "Under" "Grass" 2 13
"520" "H" 115 "Under" "Grass" 2 23
"521" "H" 116 "Under" "Grass" 2 35
"522" "H" 117 "Under" "Grass" 1 44
"523" "H" 118 "Under" "Grass" 3 5
"524" "H" 119 "Under" "Grass" 2 8
"525" "H" 120 "Under" "Grass" 3 25
"526" "I" 121 "Under" "Grass" 1 35
"527" "I" 122 "Under" "Grass" 2 33
"528" "I" 123 "Under" "Grass" 2 19
"529" "I" 124 "Under" "Grass" 3 20
"530" "I" 125 "Under" "Grass" 3 18
"531" "I" 126 "Under" "Grass" 2 26
"532" "I" 127 "Under" "Grass" 3 37
"533" "I" 128 "Under" "Grass" 1 39
"534" "I" 129 "Under" "Grass" 3 52
"535" "I" 130 "Under" "Grass" 1 27
"536" "I" 131 "Under" "Grass" 3 5
"537" "I" 132 "Under" "Grass" 3 17
"538" "I" 133 "Under" "Grass" 1 5
"539" "I" 134 "Under" "Grass" 3 22
"540" "I" 135 "Under" "Grass" 3 38
