Sample	Site	Plot	Species	WMass	Dmass	SA	Chlorophyll	Toughness	PHeight	Reproductive	Habitat	Theight	Circ	NN1	NN2	Pair	LDMC	SLA
B1U	B	Under	Pseudognath	0.047	0.011	212.546	201	0.565	0.46	F	Under	0.5	1.7	1	1	11	23.4042553191489	9.08151090909091
B20C	B	Control	Commelina	0.188	0.027	537.827	298	7.865	0.08	N	Short	0.5	1.3	1	0.5	12	14.3617021276596	37.4486948148148
B20U	B	Under	Commelina	0.038	0.006	187.004	300	2.705	0.07	N	Under	0.5	1.3	1	0.5	12	15.7894736842105	11.8435866666667
B21C	B	Control	Themeda	0.051	0.022	496.237	365	6.490	0.60	N	Short	0.5	1.3	1	0.5	13	43.1372549019608	11.5036759090909
B21U	B	Under	Themeda	0.024	0.007	232.706	403	0.685	0.26	N	Under	0.5	1.3	1	0.5	13	29.1666666666667	7.97849142857143
B22C	B	Control	Tristachya	0.1	0.038	472.333	406	3.770	0.30	F	Short	1	3.2	0.5	0.5	14	38	12.4298157894737
B22U	B	Under	Tristachya	0.054	0.019	483.7	300	3.420	0.54	N	Under	1	3.2	0.5	0.5	14	35.1851851851852	13.7472631578947
B23C	B	Control	Tristachya	0.118	0.044	513.07	391	2.890	0.30	F	Short	0.5	1.3	1	0.5	15	37.2881355932203	13.7596045454545
B23U	B	Under	Tristachya	0.12	0.043	601.449	518	9.605	0.30	N	Under	0.5	1.3	1	0.5	15	35.8333333333333	16.784623255814
B24C	B	Control	Themeda	0.036	0.018	323.575	387	3.145	0.30	F	Short	1	2	0.5	1	16	50	6.4715
B24U	B	Under	Themeda	0.074	0.029	617.262	363	1.550	0.58	F	Under	1	2	0.5	1	16	39.1891891891892	15.7508234482759
B25C	B	Control	Tristachya	0.062	0.025	337.4	372	8.720	0.27	F	Short	1	2	0.5	1	17	40.3225806451613	8.36752
B25U	B	Under	Tristachya	0.087	0.034	407.641	433	NA	0.39	N	Under	1	2	0.5	1	17	39.0804597701149	10.4308138235294
B26C	B	Control	Commelina	0.134	0.02	398.447	173	7.425	0.04	N	Short	1	2	0.5	1	18	14.9253731343284	26.695949
B26U	B	Under	Commelina	0.041	0.006	171.226	230	4.360	0.05	N	Under	1	2	0.5	1	18	14.6341463414634	11.7004433333333
B27C	B	Control	Miscanthus	0.493	0.198	2433.861	410	NA	1.12	N	Tall	1	1.8	0.5	0.5	19	40.1622718052738	60.6006804545454
B27U	B	Under	Miscanthus	0.618	0.248	2786.072	376	NA	1.26	N	Under	1	1.8	0.5	0.5	19	40.1294498381877	69.4271167741935
